Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_11	MA	0.0986853	1.15517	0.0854294	1.85579e-128	1575	331.272	1243.73	NA	304	230.175	73.8253	NA	NA	0.320897	1.99515:2.07701:1.50278:1.52756:0.578585:1	0.426032(0.512381:0.395238:0.370476)	-2992.11	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_12	MA	0.109349	1.9835	0.0551296	5.70481e-203	1578	335.254	1242.75	NA	349	289.781	59.2192	NA	NA	0.507522	2.13579:3.41866:1.35933:1.5367:0.997999:1	0.428707(0.503802:0.394487:0.387833)	-3049.97	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_13	MA	0.0994248	1.17635	0.08452	4.48578e-130	1578	323.287	1254.71	NA	303	228.157	74.8427	NA	NA	0.320056	2.34999:2.33594:2.12225:2.12445:0.861604:1	0.423004(0.507605:0.390684:0.370722)	-2988.63	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_14	MA	0.105893	1.92945	0.0548826	2.07413e-200	1578	336.024	1241.98	NA	346	287.65	58.3502	NA	NA	0.494206	2.31311:2.93419:1.78655:1.88536:0.913179:1	0.427757(0.504753:0.393536:0.384981)	-3036.36	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_15	MA	0.0926585	1.19037	0.0778403	1.91508e-127	1578	341.126	1236.87	NA	293	228.507	64.4933	NA	NA	0.329956	1.94187:2.08193:1.37391:1.58825:0.391646:1	0.433777(0.5:0.389734:0.411597)	-2981.15	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_16	MA	0.0845107	1.48998	0.0567194	5.97777e-166	1578	317.949	1260.05	NA	303	247.391	55.6091	NA	NA	0.367696	1.86091:3.641:1.15918:1.69531:0.783146:1	0.426806(0.507605:0.397338:0.375475)	-2960.77	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_17	MA	0.0818444	0.983196	0.0832433	1.72548e-110	1578	327.32	1250.68	NA	270	204.845	65.1551	NA	NA	0.268809	1.88082:2.62974:1.12271:1.41743:0.739796:1	0.429024(0.504753:0.386882:0.395437)	-2922.54	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_18	MA	0.0420876	0.407502	0.103282	6.17148e-48	1575	352.372	1222.63	NA	154	113.372	40.6279	NA	NA	0.123841	1.50638:1.65315:1.04084:1.29328:0.436834:1	0.436508(0.517143:0.39619:0.39619)	-2695.49	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_19	MA	0.021259	0.132292	0.160698	2.01554e-14	1590	355.471	1234.53	NA	68	43.6431	24.3569	NA	NA	0.0460823	3.77611:4.0289:2.72672:2.73525:0.829954:1	0.43239(0.510377:0.396226:0.390566)	-2414.31	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_10-eukaryote_dfr_Cluster.10_20	MA	0.0256393	0.219107	0.117017	5.07616e-27	1590	371.263	1218.74	NA	97	70.0802	26.9198	NA	NA	0.0708137	2.88376:3.07642:1.96063:2.10012:0.417723:1	0.434591(0.512264:0.39717:0.39434)	-2534.48	NA	NA	NA	eukaryote
