abb	kingdom	order	family	full	ARG	AR	phylum	lastLevel
ncldv_1	ncldv	Imitervirales	n.a.	ChoanoV_1.fa|ENA_MK250085_MK250085.1_69	NA	NA	NA	NA
ncldv_2	ncldv	Imitervirales	Mimiviridae	cPacV_1605.fa|CABVLZ010000001.1_46	NA	NA	NA	NA
ncldv_3	ncldv	Imitervirales	n.a.	ERX552257.96.dc.fa|contig_14060_10	NA	NA	NA	NA
ncldv_4	ncldv	Imitervirales	Mimiviridae	ERX552300.8.dc.fa|contig_2163_11	NA	NA	NA	NA
ncldv_5	ncldv	Imitervirales	Mimiviridae	GCA_000889395.1_ViralProj59783|GU244497.1_512	NA	NA	NA	NA
ncldv_6	ncldv	Imitervirales	Mimiviridae	GCA_000893915.1_ViralProj74349|JN258408.1_362	NA	NA	NA	NA
ncldv_7	ncldv	Imitervirales	Mimiviridae	GCA_000904035.1_ViralProj186430|JX962719.1_324	NA	NA	NA	NA
ncldv_8	ncldv	Pimascovirales	Pithoviridae	GCA_002892525.1_ASM289252v1|LT906555.1_354	NA	NA	NA	NA
ncldv_9	ncldv	Imitervirales	Mimiviridae	GCA_002924545.1_ASM292454v1|KU877344.1_351	NA	NA	NA	NA
ncldv_10	ncldv	Imitervirales	Mimiviridae	GCA_002966215.1_ASM296621v1|KY684086.1_38	NA	NA	NA	NA
ncldv_11	ncldv	Imitervirales	Mimiviridae	GCA_002966235.1_ASM296623v1|KY684084.1_149	NA	NA	NA	NA
ncldv_12	ncldv	Imitervirales	Mimiviridae	GCA_002966255.1_ASM296625v1|KY684105.1_243	NA	NA	NA	NA
ncldv_13	ncldv	Imitervirales	Mimiviridae	GCA_002966275.1_ASM296627v1|KY684109.1_140	NA	NA	NA	NA
ncldv_14	ncldv	Imitervirales	Mimiviridae	GCA_002966405.1_ASM296640v1|MF782455.1_782	NA	NA	NA	NA
ncldv_15	ncldv	Imitervirales	Mimiviridae	GCA_002966435.1_ASM296643v1|KC008572.1_661	NA	NA	NA	NA
ncldv_16	ncldv	Imitervirales	Mimiviridae	GCA_002966485.1_ASM296648v1|KY523104.1_100	NA	NA	NA	NA
ncldv_17	ncldv	Imitervirales	Mimiviridae	GCA_002966485.1_ASM296648v1|KY523104.1_860	NA	NA	NA	NA
ncldv_18	ncldv	Imitervirales	Mimiviridae	GCA_003814065.1_ASM381406v1|MK072092.1_4	NA	NA	NA	NA
ncldv_19	ncldv	Imitervirales	Mimiviridae	GCA_003814085.1_ASM381408v1|MK072148.1_12	NA	NA	NA	NA
ncldv_20	ncldv	Imitervirales	Mimiviridae	GCA_003814165.1_ASM381416v1|MK072390.1_29	NA	NA	NA	NA
ncldv_21	ncldv	Imitervirales	Mimiviridae	GCA_003814265.1_ASM381426v1|MK071985.1_36	NA	NA	NA	NA
ncldv_22	ncldv	Imitervirales	Mimiviridae	GCA_004151645.1_ASM415164v1|MH046811.1_411	NA	NA	NA	NA
ncldv_23	ncldv	Imitervirales	Mimiviridae	GCA_004156295.1_ASM415629v1|MG807320.1_333	NA	NA	NA	NA
ncldv_24	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300001348-16.fna|JGI20154J14316_10000262_6	NA	NA	NA	NA
ncldv_25	ncldv	Imitervirales	n.a.	GVMAG-M-3300001351-8.fna|JGI20153J14318_10000150_45	NA	NA	NA	NA
ncldv_26	ncldv	Imitervirales	n.a.	GVMAG-M-3300009163-40.fna|Ga0114970_10000093_32	NA	NA	NA	NA
ncldv_27	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300009697-1.fna|Ga0116231_10012182_2	NA	NA	NA	NA
ncldv_28	ncldv	Imitervirales	n.a.	GVMAG-M-3300012954-26.fna|Ga0163111_10000679_1	NA	NA	NA	NA
ncldv_29	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300017788-2.fna|Ga0169931_10009381_8	NA	NA	NA	NA
ncldv_30	ncldv	Imitervirales	n.a.	GVMAG-M-3300017967-22.fna|Ga0181590_10001532_2	NA	NA	NA	NA
ncldv_31	ncldv	Imitervirales	n.a.	GVMAG-M-3300017971-33.fna|Ga0180438_10002355_19	NA	NA	NA	NA
ncldv_32	ncldv	Pandoravirales	n.a.	GVMAG-M-3300018080-53.fna|Ga0180433_10004028_13	NA	NA	NA	NA
ncldv_33	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300020165-43.fna|Ga0206125_10000303_40	NA	NA	NA	NA
ncldv_34	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300020185-49.fna|Ga0206131_10001254_13	NA	NA	NA	NA
ncldv_35	ncldv	Imitervirales	n.a.	GVMAG-M-3300021365-13.fna|Ga0206123_10003304_6	NA	NA	NA	NA
ncldv_36	ncldv	Imitervirales	n.a.	GVMAG-M-3300023174-204.fna|Ga0214921_10002485_12	NA	NA	NA	NA
ncldv_37	ncldv	Imitervirales	n.a.	GVMAG-M-3300023174-206.fna|Ga0214921_10001779_15	NA	NA	NA	NA
ncldv_38	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300023179-103.fna|Ga0214923_10000092_94	NA	NA	NA	NA
ncldv_39	ncldv	Imitervirales	n.a.	GVMAG-M-3300023179-150.fna|Ga0214923_10000113_77	NA	NA	NA	NA
ncldv_40	ncldv	Imitervirales	n.a.	GVMAG-M-3300023179-150.fna|Ga0214923_10002369_16	NA	NA	NA	NA
ncldv_41	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300023179-2.fna|Ga0214923_10000197_47	NA	NA	NA	NA
ncldv_42	ncldv	Imitervirales	n.a.	GVMAG-M-3300023179-31.fna|Ga0214923_10008670_4	NA	NA	NA	NA
ncldv_43	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300023179-4.fna|Ga0214923_10000057_15	NA	NA	NA	NA
ncldv_44	ncldv	Imitervirales	Mimiviridae	GVMAG-M-3300023179-54.fna|Ga0214923_10000891_31	NA	NA	NA	NA
ncldv_45	ncldv	Asfuvirales	n.a.	GVMAG-M-3300024062-1.fna|Ga0255039_10000002_3	NA	NA	NA	NA
ncldv_46	ncldv	Imitervirales	n.a.	GVMAG-M-3300025860-20.fna|Ga0209119_1000022_55	NA	NA	NA	NA
ncldv_47	ncldv	Imitervirales	Mimiviridae	GVMAG-S-1015567-333.fna|1015567_contig_16177_6	NA	NA	NA	NA
ncldv_48	ncldv	Pimascovirales	n.a.	GVMAG-S-1041349-163.fna|1041349_contig_46_45	NA	NA	NA	NA
ncldv_49	ncldv	Imitervirales	Mimiviridae	GVMAG-S-3300009084-161.fna|3300009084.a:Ga0105046_10000143_1	NA	NA	NA	NA
ncldv_50	ncldv	Imitervirales	Mimiviridae	GVMAG-S-3300013131-119.fna|3300013131.a:Ga0172373_10000181_24	NA	NA	NA	NA
ncldv_51	ncldv	Pimascovirales	Pithoviridae	GX_tailings_bin.15.fa:GX_tailings_Scaff1225514_10	NA	NA	NA	NA
ncldv_52	ncldv	Pandoravirales	n.a.	HuN_tailings_bin.17.fa:HuN_tailings_Scaff0946968_12	NA	NA	NA	NA
ncldv_53	ncldv	Imitervirales	Mimiviridae	Mimivirus_LCMiAC01.fna|MK500389.1_42	NA	NA	NA	NA
