Contig	Element	Start	End	MGE.type	genome
ERX552270.38.dc.fa|contig_20409	ERX552270.38.dc.fa|contig_20409_3	1329	2540	recombinase	ERX552270.38.dc
ERX552270.62.dc.fa|contig_82572	ERX552270.62.dc.fa|contig_82572_7	3600	4736	recombinase	ERX552270.62.dc
ERX555933.5.dc.fa|contig_33929	ERX555933.5.dc.fa|contig_33929_18	12445	14013	recombinase	ERX555933.5.dc
ERX555933.51.dc.fa|contig_38589	ERX555933.51.dc.fa|contig_38589_7	4076	5212	recombinase	ERX555933.51.dc
ERX555933.51.dc.fa|contig_38589	ERX555933.51.dc.fa|contig_38589_2	431	1231	resolvase	ERX555933.51.dc
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_249	196773	197924	IS/transposase	GCA.000839765.1.ViralProj14114
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_272	222390	223541	IS/transposase	GCA.000839765.1.ViralProj14114
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_150	150598	151881	endonuclease	GCA.000839765.1.ViralProj14114
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_193	196773	197846	IS/transposase	GCA.000839765.1.ViralProj14114
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_213	222390	223463	IS/transposase	GCA.000839765.1.ViralProj14114
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_225	242354	243406	resolvase	GCA.000839765.1.ViralProj14114
GCA_000839765.1_ViralProj14114|AF204951.2	GCA_000839765.1_ViralProj14114|AF204951.2_91	91117	91743	recombinase	GCA.000839765.1.ViralProj14114
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_160	161639	162325	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_30	42256	42942	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_333	294240	294926	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_138	139790	141271	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_141	142498	143640	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_159	157379	158428	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_163	160393	161580	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_164	161639	162325	resolvase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_183	179001	180056	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_227	212392	217230	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_29	41010	42197	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_30	42256	42942	resolvase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_329	289256	290389	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_333	292995	294182	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_334	294240	294926	resolvase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_347	308963	309892	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_385	343057	344355	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_53	58776	60110	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_64	73136	74515	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_67	79050	80282	endonuclease	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	GCA_000873685.1_ViralProj20989|DQ491002.1_92	97201	98007	recombinase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	IS200/IS605	142317	143731	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	IS200/IS605	289167	290558	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000873685.1_ViralProj20989|DQ491002.1	IS200/IS605	342463	344443	IS/transposase	GCA.000873685.1.ViralProj20989
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_361	395212	395829	IS/transposase	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_11	8933	9796	resolvase	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_111	98065	98853	endonuclease	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_161	167751	168062	endonuclease	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_170	177051	177908	resolvase	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_213	226141	227580	recombinase	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_333	361386	365852	endonuclease	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_365	393881	395131	IS/transposase	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_366	395212	395829	resolvase	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	GCA_000889395.1_ViralProj59783|GU244497.1_41	37404	38369	endonuclease	GCA.000889395.1.ViralProj59783
GCA_000889395.1_ViralProj59783|GU244497.1	IS200/IS605	393881	395131	IS/transposase	GCA.000889395.1.ViralProj59783
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_313	287630	288196	IS/transposase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_758	784161	784694	IS/transposase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_313	287630	288196	integrase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_758	784161	784694	integrase	GCA.000904035.1.ViralProj186430
GCA_000904035.1_ViralProj186430|JX962719.1	GCA_000904035.1_ViralProj186430|JX962719.1_192	163404	164387	endonuclease	GCA.000904035.1.ViralProj186430
