Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom	group
ncldv_15-ncldv_23	MA	0.0708769	3.69086	0.0192034	0	3300	436.716	2863.28	NA	512	454.745	57.2547	NA	NA	0.549939	1.50692:2.25905:0.899146:1.55428:0.429065:1	0.269394(0.35:0.297273:0.160909)	-5565.65	NA	NA	NA	ncldv	c
ncldv_6-ncldv_22	MA	0.0288789	1.19215	0.0242243	5.01327e-188	3300	414.103	2885.9	NA	261	223.302	37.6978	NA	NA	0.174852	5.43805:4.28605:2.16167:2.64855:0.366382:1	0.273485(0.362273:0.299545:0.158636)	-4801.67	NA	NA	NA	ncldv	c
ncldv_6-ncldv_9	MA	0.0238635	1.34094	0.0177961	8.4754e-213	3297	397.619	2899.38	NA	265	234.562	30.4382	NA	NA	0.182703	7.46475:7.21156:5.08578:5.635:0.66137:1	0.27707(0.366697:0.299818:0.164695)	-4792.47	NA	NA	NA	ncldv	c
ncldv_7-ncldv_15	MA	0.0522644	3.70338	0.0141126	0	3303	354.056	2948.94	NA	434	388.351	45.6486	NA	NA	0.443635	2.5604:2.81747:1.78942:1.97989:0.542618:1	0.26597(0.348774:0.297911:0.151226)	-5167.14	NA	NA	NA	ncldv	c
ncldv_7-ncldv_23	MA	0.0665875	4.89086	0.0136147	0	3300	339.402	2960.6	NA	482	430.834	51.1662	NA	NA	0.562759	3.37263:3.37484:2.80541:3.13303:0.9506:1	0.267727(0.348182:0.298182:0.156818)	-5330.86	NA	NA	NA	ncldv	c
ncldv_9-ncldv_22	MA	0.0407559	1.95236	0.0208753	6.98882e-272	3297	410.665	2886.34	NA	338	294.754	43.2464	NA	NA	0.278859	4.54966:4.51356:3.2853:3.37367:0.433276:1	0.276918(0.363512:0.299363:0.16788)	-5018.4	NA	NA	NA	ncldv	c
Eukaryota_ileS_318-Eukaryota_ileS_420	MA	0.11469	5.23193	0.0219211	0	3213	555.866	2657.13	NA	850	769.379	80.6206	NA	NA	1	0.560262:0.81284:0.507216:0.660372:0.326598:1	0.529879(0.554622:0.352474:0.68254)	-6210.75	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_265-Eukaryota_ileS_262	MA	0.140494	5.86943	0.0239366	0	3237	485.644	2751.36	NA	875	770.511	104.489	NA	NA	1	0.364901:0.880774:0.378874:0.693239:0.40863:1	0.539234(0.567655:0.351715:0.698332)	-6364.29	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_177-Eukaryota_ileS_618	MA	0.287425	4.19161	0.0685715	0	3231	589.709	2641.29	NA	1172	896.621	275.379	NA	NA	1	0.645034:1.13972:0.91742:0.818877:0.473724:1	0.566543(0.590994:0.380687:0.727948)	-7135.7	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_622-Eukaryota_ileS_111	MA	0.145745	5.02159	0.0290237	0	3237	567.127	2669.87	NA	902	793.57	108.43	NA	NA	1	0.461491:0.828769:0.59753:0.624881:0.246489:1	0.518999(0.55468:0.346154:0.656163)	-6521.74	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_454-Eukaryota_ileS_209	MA	0.160211	4.04603	0.039597	0	3489	754.03	2734.97	NA	1023	894.525	128.475	NA	NA	1	0.793358:1.23939:0.542543:0.676671:0.539315:1	0.50172(0.534394:0.361565:0.6092)	-7217.77	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_215-Eukaryota_ileS_26	MA	0.171865	3.81745	0.0450209	0	3228	733.275	2494.72	NA	1038	900.128	137.872	NA	NA	1	0.672329:0.975426:0.548232:0.731406:0.22958:1	0.516574(0.572491:0.378253:0.598978)	-6777.67	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_265-Eukaryota_ileS_57	MA	0.174131	3.88717	0.0447964	0	3237	719.987	2517.01	NA	1062	918.205	143.795	NA	NA	1	0.638512:0.847198:0.510545:0.560393:0.317057:1	0.494748(0.5519:0.354495:0.57785)	-6787.13	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_433-Eukaryota_ileS_420	MA	0.12883	4.49822	0.0286402	0	3213	640.609	2572.39	NA	891	799.099	91.901	NA	NA	1	0.472093:0.897777:0.390791:0.516755:0.243486:1	0.513383(0.570028:0.351541:0.618581)	-6411.99	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_598-Eukaryota_ileS_586	MA	0.118689	4.42436	0.0268262	0	3231	661.341	2569.66	NA	853	772.481	80.5188	NA	NA	1	0.681268:0.897524:0.488894:0.633922:0.203691:1	0.545032(0.567317:0.37558:0.692201)	-6367.5	NA	NA	NA	eukaryotes	b
Eukaryota_ileS_262-Eukaryota_ileS_446	MA	0.160432	5.13318	0.0312539	0	3237	546.515	2690.49	NA	1009	874.454	134.546	NA	NA	1	0.421644:0.937789:0.471012:0.726899:0.357861:1	0.513284(0.55051:0.348934:0.640408)	-6626.57	NA	NA	NA	eukaryotes	b
Bacteria_ileS2_7-Bacteria_ileS2_8	MA	0.0184539	0.485074	0.0380434	3.3298e-127	3099	628.449	2470.55	NA	248	215.735	32.2645	NA	NA	0.11308	2.54526:2.4054:1.62854:1.72346:0.431363:1	0.37141(0.525169:0.339787:0.249274)	-4830.75	NA	NA	NA	bacteria	a
Bacteria_ileS_55-Bacteria_ileS_56	MA	0.100253	1.87947	0.053341	0	2838	640.746	2197.25	NA	618	522.437	95.563	NA	NA	0.501953	1.22938:2.21065:0.964166:1.00691:0.6169:1	0.435518(0.59408:0.386892:0.325581)	-5507.01	NA	NA	NA	bacteria	a
Bacteria_ileS2_6-Bacteria_ileS2_7	MA	0.0203809	0.533252	0.0382199	1.89833e-138	3099	631.028	2467.97	NA	267	232.279	34.7209	NA	NA	0.124813	2.81419:2.88037:1.97563:2.0017:0.676438:1	0.372862(0.526137:0.340755:0.251694)	-4885.1	NA	NA	NA	bacteria	a
Bacteria_ileS1_1-Bacteria_ileS_49	MA	0.0772741	1.16219	0.06649	3.34598e-247	2829	512.843	2316.16	NA	495	380.684	114.316	NA	NA	0.273949	1.48247:1.4757:1.15258:1.15948:0.581032:1	0.607458(0.610817:0.412513:0.799046)	-5171.48	NA	NA	NA	bacteria	a
Bacteria_ileS_38-Bacteria_ileS_35	MA	0.12026	1.3848	0.086843	8.46923e-272	2814	706.871	2107.13	NA	657	521.896	135.104	NA	NA	0.437911	1.27137:1.19902:1.0555:1.07817:0.599589:1	0.525409(0.602345:0.410981:0.5629)	-5666.15	NA	NA	NA	bacteria	a
Bacteria_ileS2_6-Bacteria_ileS2_8	MA	0.0103578	0.17904	0.0578518	6.39025e-51	3099	654.769	2444.23	NA	123	101.155	21.8453	NA	NA	0.0459978	3.13824:2.64999:1.54177:1.71964:0.503313:1	0.374798(0.525653:0.338819:0.259923)	-4521.65	NA	NA	NA	bacteria	a
Bacteria_ileS_21-Bacteria_ileS_20	MA	0.00819668	0.280838	0.0291865	6.15463e-74	2835	403.227	2431.77	NA	120	102.039	17.9607	NA	NA	0.0469749	2.94355:2.90271:2.21689:2.21486:0.63567:1	0.657319(0.631746:0.432275:0.907937)	-3965.05	NA	NA	NA	bacteria	a
Bacteria_ileS_56-Bacteria_ileS_54	MA	0.100607	1.747	0.0575885	1.48219693752374e-323	2838	642.46	2195.54	NA	609	508.856	100.144	NA	NA	0.473314	1.17309:2.19801:0.801339:1.09178:0.505881:1	0.438865(0.600423:0.387949:0.328224)	-5501.9	NA	NA	NA	bacteria	a
Bacteria_ileS_56-Bacteria_ileS_57	MA	0.122601	1.8675	0.0656499	0	2847	698.08	2148.92	NA	689	573.167	115.833	NA	NA	0.550446	0.758482:0.846713:0.604365:0.707375:0.364532:1	0.476818(0.613277:0.394626:0.42255)	-5739.23	NA	NA	NA	bacteria	a
Bacteria_ileS_68-Bacteria_ileS_8	MA	0.168694	3.53191	0.0477628	0	2760	682.206	2077.79	NA	841	734.196	106.804	NA	NA	1	0.765128:1.27817:0.477674:0.58165:0.507257:1	0.506703(0.57663:0.375:0.568478)	-5862.72	NA	NA	NA	bacteria	a
Bacteria_ileS2_8-Bacteria_ileS2_5	MA	0.00938621	0.177506	0.0528782	1.07544e-49	3099	615.316	2483.68	NA	115	94.7719	20.2281	NA	NA	0.0427669	1.28981:1.12617:0.77987:0.750589:0.343723:1	0.374637(0.527106:0.336399:0.260407)	-4500.66	NA	NA	NA	bacteria	a
Bacteria_ileS_83-Bacteria_ileS_84	MA	0.00371871	0.0142363	0.261214	0.00600376	2790	713.689	2076.31	NA	17	9.65942	7.34058	NA	NA	0.00640912	5.03284:4.30855:3.31606:3.2217:1.32786:1	0.426344(0.56129:0.373118:0.344624)	-3802.54	NA	NA	NA	bacteria	a
Bacteria_ileS_28-Bacteria_ileS_27	MA	0.121317	1.97969	0.061281	0	2820	627.365	2192.63	NA	681	560.874	120.126	NA	NA	0.534749	0.570354:0.636659:0.533373:0.539929:0.344182:1	0.542908(0.620213:0.401064:0.607447)	-5681.08	NA	NA	NA	bacteria	a
Bacteria_ileS_55-Bacteria_ileS_57	MA	0.108172	1.95401	0.0553589	0	2829	711.638	2117.36	NA	683	586.411	96.5887	NA	NA	0.572493	1.48246:1.5105:1.17529:1.21339:0.537859:1	0.461824(0.601273:0.391835:0.392365)	-5602.86	NA	NA	NA	bacteria	a
Bacteria_ileS_22-Bacteria_ileS_20	MA	0.00606152	0.247818	0.0244595	1.35301e-69	2835	415.433	2419.57	NA	109	95.4084	13.5916	NA	NA	0.0414879	6.63221:6.7178:6.70759:6.54875:2.48235:1	0.65679(0.630159:0.431217:0.908995)	-3933.69	NA	NA	NA	bacteria	a
Bacteria_ileS_54-Bacteria_ileS_57	MA	0.101593	1.99258	0.0509854	0	2829	712.498	2116.5	NA	659	572.32	86.6802	NA	NA	0.577848	1.07248:1.30386:0.661666:0.867758:0.418602:1	0.465005(0.607635:0.392895:0.394486)	-5562.62	NA	NA	NA	bacteria	a
Bacteria_ileS_67-Bacteria_ileS_8	MA	0.172612	3.47661	0.0496497	0	2760	691.16	2068.84	NA	854	743.504	110.496	NA	NA	1	0.801063:1.24676:0.517324:0.719601:0.522767:1	0.4875(0.578261:0.372283:0.511957)	-5894.83	NA	NA	NA	bacteria	a
Bacteria_ileS2_6-Bacteria_ileS2_5	MA	0.0149228	0.252146	0.0591834	5.08557e-68	3099	640.676	2458.32	NA	165	134.464	30.5357	NA	NA	0.0639654	2.52508:2.51189:1.77305:1.76038:0.624292:1	0.376089(0.528074:0.337367:0.262827)	-4661.36	NA	NA	NA	bacteria	a
Bacteria_ileS_48-Bacteria_ileS_49	MA	0.117959	1.95195	0.0604317	0	2829	398.244	2430.76	NA	591	431.747	159.253	NA	NA	0.376134	0.629288:1.54541:0.369606:0.448327:0.478432:1	0.631495(0.635737:0.418876:0.839873)	-5354.22	NA	NA	NA	bacteria	a
Bacteria_ileS2_7-Bacteria_ileS2_5	MA	0.018053	0.496525	0.0363586	2.45331e-130	3099	624.308	2474.69	NA	249	217.634	31.3659	NA	NA	0.114443	1.97069:1.7389:1.04002:1.28837:0.411909:1	0.372701(0.52759:0.338335:0.252178)	-4832.37	NA	NA	NA	bacteria	a
Bacteria_ileS2_6-Bacteria_ileS2_9	MA	0.967114	1.14827	0.842236	3.60693e-12	2862	519.553	2342.45	NA	2166	451.505	1714.49	NA	NA	1	0.878981:0.897087:0.88281:0.886311:0.921727:1	0.387666(0.404088:0.348532:0.410377)	-7859.69	NA	NA	NA	bacteria	a
Bacteria_ileS_65-Bacteria_ileS_8	MA	0.987961	1.05384	0.937489	0.0215216	2571	469.862	2101.14	NA	1927	371.128	1555.87	NA	NA	1	0.783685:0.828183:0.80628:0.801358:0.841856:1	0.422404(0.39965:0.371062:0.496499)	-7015.72	NA	NA	NA	bacteria	a
Bacteria_ileS2_8-Bacteria_ileS2_9	MA	0.966195	1.15317	0.837861	6.47934e-13	2862	517.455	2344.55	NA	2164	451.183	1712.82	NA	NA	1	0.847047:0.864028:0.862786:0.869783:0.934494:1	0.386618(0.402516:0.348008:0.409329)	-7846.29	NA	NA	NA	bacteria	a
