Contig	Element	Start	End	MG.type	ARGorf	ARG-MGE.distance	ARG-MGE.relation
ChoanoV_1.fa|ENA_MK250085_MK250085.1	ChoanoV_1.fa|ENA_MK250085_MK250085.1_136	156205	157053	endonuclease	ChoanoV_1.fa|ENA_MK250085_MK250085.1_69	66049	away
ChoanoV_1.fa|ENA_MK250085_MK250085.1	ChoanoV_1.fa|ENA_MK250085_MK250085.1_237	239865	240272	endonuclease	ChoanoV_1.fa|ENA_MK250085_MK250085.1_69	149709	away
ChoanoV_1.fa|ENA_MK250085_MK250085.1	ChoanoV_1.fa|ENA_MK250085_MK250085.1_75	95768	96391	endonuclease	ChoanoV_1.fa|ENA_MK250085_MK250085.1_69	5612	away
cPacV_1605.fa|CABVLZ010000001.1	cPacV_1605.fa|CABVLZ010000001.1_26	29502	30470	endonuclease	cPacV_1605.fa|CABVLZ010000001.1_46	24005	away
cPacV_1605.fa|CABVLZ010000001.1	cPacV_1605.fa|CABVLZ010000001.1_365	349137	349784	endonuclease	cPacV_1605.fa|CABVLZ010000001.1_46	291483	away
cPacV_1605.fa|CABVLZ010000002.1	cPacV_1605.fa|CABVLZ010000002.1_111	124620	125657	endonuclease	cPacV_1605.fa|CABVLZ010000002.1_14	108382	away
cPacV_1605.fa|CABVLZ010000002.1	cPacV_1605.fa|CABVLZ010000002.1_193	198950	200404	recombinase	cPacV_1605.fa|CABVLZ010000002.1_14	182712	away
cPacV_1605.fa|CABVLZ010000002.1	cPacV_1605.fa|CABVLZ010000002.1_270	296207	297106	resolvase	cPacV_1605.fa|CABVLZ010000002.1_14	279969	away
cPacV_1605.fa|CABVLZ010000002.1	cPacV_1605.fa|CABVLZ010000002.1_298	321199	322017	endonuclease	cPacV_1605.fa|CABVLZ010000002.1_14	304961	away
cPacV_1605.fa|CABVLZ010000003.1	cPacV_1605.fa|CABVLZ010000003.1_138	151391	152494	endonuclease	cPacV_1605.fa|CABVLZ010000003.1_210	84012	away
cPacV_1605.fa|CABVLZ010000003.1	cPacV_1605.fa|CABVLZ010000003.1_173	190807	191685	endonuclease	cPacV_1605.fa|CABVLZ010000003.1_210	44821	away
cPacV_1605.fa|CABVLZ010000003.1	cPacV_1605.fa|CABVLZ010000003.1_191	213412	214182	endonuclease	cPacV_1605.fa|CABVLZ010000003.1_210	22324	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_194	189062	189724	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_250	52924	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_266	257587	258378	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_250	11658	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_273	265308	266360	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_250	19379	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_297	290324	291025	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_250	44395	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_308	300455	301297	resolvase	cPacV_1605.fa|CABVLZ010000004.1_250	54526	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_5	6255	7079	resolvase	cPacV_1605.fa|CABVLZ010000004.1_250	235569	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_194	189062	189724	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_286	92581	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_266	257587	258378	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_286	23927	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_273	265308	266360	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_286	15945	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_297	290324	291025	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_286	6772	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_308	300455	301297	resolvase	cPacV_1605.fa|CABVLZ010000004.1_286	16903	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_5	6255	7079	resolvase	cPacV_1605.fa|CABVLZ010000004.1_286	275226	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_194	189062	189724	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_287	93936	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_266	257587	258378	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_287	25282	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_273	265308	266360	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_287	17300	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_297	290324	291025	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_287	4778	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_308	300455	301297	resolvase	cPacV_1605.fa|CABVLZ010000004.1_287	14909	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_5	6255	7079	resolvase	cPacV_1605.fa|CABVLZ010000004.1_287	276581	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_194	189062	189724	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_37	147575	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_266	257587	258378	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_37	216100	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_273	265308	266360	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_37	223821	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_297	290324	291025	endonuclease	cPacV_1605.fa|CABVLZ010000004.1_37	248837	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_308	300455	301297	resolvase	cPacV_1605.fa|CABVLZ010000004.1_37	258968	away
cPacV_1605.fa|CABVLZ010000004.1	cPacV_1605.fa|CABVLZ010000004.1_5	6255	7079	resolvase	cPacV_1605.fa|CABVLZ010000004.1_37	32759	away
ERX288947.23.dc.fa|contig_48404	ERX288947.23.dc.fa|contig_48404_10	10099	10935	resolvase	ERX288947.23.dc.fa|contig_48404_20	8757	away
ERX552246.27.dc.fa|contig_1900	ERX552246.27.dc.fa|contig_1900_8	8373	8819	endonuclease	ERX552246.27.dc.fa|contig_1900_47	32165	away
ERX552246.27.dc.fa|contig_1900	ERX552246.27.dc.fa|contig_1900_93	79476	80537	endonuclease	ERX552246.27.dc.fa|contig_1900_47	37935	away
ERX552254.13.dc.fa|contig_15223	ERX552254.13.dc.fa|contig_15223_26	27909	28907	endonuclease	ERX552254.13.dc.fa|contig_15223_12	16698	away
ERX552254.13.dc.fa|contig_231	ERX552254.13.dc.fa|contig_231_32	28081	28767	endonuclease	ERX552254.13.dc.fa|contig_231_15	13517	away
ERX552254.13.dc.fa|contig_45427	ERX552254.13.dc.fa|contig_45427_3	3283	4269	relaxase	ERX552254.13.dc.fa|contig_45427_2	98	away
ERX552256.53.dc.fa|contig_2705	ERX552256.53.dc.fa|contig_2705_38	37583	38386	endonuclease	ERX552256.53.dc.fa|contig_2705_21	15302	away
ERX552256.53.dc.fa|contig_2705	ERX552256.53.dc.fa|contig_2705_45	42784	44145	recombinase	ERX552256.53.dc.fa|contig_2705_21	20503	away
ERX552257.75.dc.fa|contig_3510	ERX552257.75.dc.fa|contig_3510_50	51613	52023	endonuclease	ERX552257.75.dc.fa|contig_3510_30	27133	away
ERX552270.10.dc.fa|contig_15547	ERX552270.10.dc.fa|contig_15547_22	16683	18029	endonuclease	ERX552270.10.dc.fa|contig_15547_32	6853	away
ERX552270.100.dc.fa|contig_21169	ERX552270.100.dc.fa|contig_21169_44	41755	42132	endonuclease	ERX552270.100.dc.fa|contig_21169_16	23562	away
ERX552270.100.dc.fa|contig_21169	ERX552270.100.dc.fa|contig_21169_9	6971	8191	endonuclease	ERX552270.100.dc.fa|contig_21169_16	9484	away
ERX552270.108.dc.fa|contig_11963	ERX552270.108.dc.fa|contig_11963_55	55287	56249	endonuclease	ERX552270.108.dc.fa|contig_11963_32	33240	away
ERX552270.108.dc.fa|contig_11963	ERX552270.108.dc.fa|contig_11963_64	67946	68782	resolvase	ERX552270.108.dc.fa|contig_11963_32	45899	away
