Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom
Eukaryota_ABCF2_11820-Eukaryota_ABCF2_12584	MA	0.048184	4.80937	0.0100188	0	1692	324.969	1367.03	NA	349	334.886	14.114	NA	NA	0.962627	0.422321:0.868169:0.384576:0.397156:0.513402:1	0.506501(0.550532:0.340426:0.628546)	-3046.08	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_11857-Eukaryota_ABCF2_12077	MA	0.00663044	0.380098	0.017444	5.18666e-77	1872	424.696	1447.3	NA	131	123.649	7.35058	NA	NA	0.0913579	1.89733:1.32047:0.949761:0.733106:1.21572:1	0.519231(0.572115:0.348558:0.637019)	-2842.02	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_11873-Eukaryota_ABCF2_12560	MA	0.0242262	0.692681	0.0349745	3.41474e-111	1872	466.733	1405.27	NA	219	198.136	20.8644	NA	NA	0.190888	2.72781:1.96913:0.941819:0.971777:1.06646:1	0.517628(0.574519:0.340545:0.637821)	-3048.68	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_11874-Eukaryota_ABCF2_12265	MA	0.0122112	0.768148	0.015897	9.22304e-122	1875	425.181	1449.82	NA	196	185.922	10.0782	NA	NA	0.18363	3.87955:3.78235:2.54656:2.52301:0.788579:1	0.5328(0.5832:0.3496:0.6656)	-2948.15	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_118-Eukaryota_ABCF2_13082	MA	0.0204358	3.5911	0.00569068	1.23809e-265	1743	372.382	1370.62	NA	313	306.579	6.42146	NA	NA	0.783286	1.32219:1.49656:1.0908:0.987635:1.02104:1	0.506885(0.567986:0.334768:0.6179)	-2962.54	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12177-Eukaryota_ABCF2_13183	MA	0.0121268	0.26326	0.0460641	5.3122e-45	1692	402.761	1289.24	NA	102	88.8927	13.1073	NA	NA	0.0719063	1.7129:1.54968:1.13653:1.05117:0.736612:1	0.498522(0.562943:0.339539:0.593085)	-2589.61	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12179-Eukaryota_ABCF2_13152	MA	0.00950465	0.327907	0.0289858	3.31096e-60	1746	404.187	1341.81	NA	116	105.818	10.1825	NA	NA	0.0832126	3.18912:2.30042:2.02517:2.02832:1.3155:1	0.5126(0.56701:0.341924:0.628866)	-2661.02	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12213-Eukaryota_ABCF2_13152	MA	0.0234605	3.92778	0.00597296	4.74529e-302	1755	356.555	1398.44	NA	330	322.446	7.5538	NA	NA	0.816684	0.684723:1.32527:0.66545:0.668366:0.835378:1	0.510256(0.568376:0.340171:0.622222)	-3018.85	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12228-Eukaryota_ABCF2_13080	MA	0.0678646	5.02157	0.0135146	0	1722	324.027	1397.97	NA	405	382.687	22.3133	NA	NA	1	0.504973:1.60663:0.808593:0.950834:0.607743:1	0.498548(0.554007:0.331882:0.609756)	-3193.78	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12265-Eukaryota_ABCF2_12404	MA	0.00528882	0.226097	0.0233918	1.74738e-49	1869	522.959	1346.04	NA	101	95.2643	5.73567	NA	NA	0.0670725	4.09475:2.34504:0.590391:0.551825:0.362289:1	0.538523(0.582665:0.35313:0.679775)	-2818.79	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12334-Eukaryota_ABCF2_13158	MA	0.0428521	4.72022	0.00907842	0	1824	373.252	1450.75	NA	383	369.946	13.0538	NA	NA	1	0.677961:1.77179:0.818362:0.924382:0.54554:1	0.510143(0.570724:0.342105:0.617599)	-3269.61	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12406-Eukaryota_ABCF2_13210	MA	0.0204716	4.05103	0.00505342	6.60003e-285	1743	360.686	1382.31	NA	320	313.92	6.07971	NA	NA	0.854532	0.865133:1.61908:0.873508:0.675149:0.713537:1	0.512048(0.567986:0.335628:0.63253)	-2969.23	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12466-Eukaryota_ABCF2_13187	MA	0.0453959	4.52601	0.01003	0	1698	361.763	1336.24	NA	367	353.889	13.1108	NA	NA	1	0.811759:1.02199:0.70627:0.665723:0.413371:1	0.502061(0.561837:0.336572:0.607774)	-3050.74	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12526-Eukaryota_ABCF2_12987	MA	0.00700443	0.554575	0.0126303	1.07256e-98	1872	404.123	1467.88	NA	152	145.333	6.66733	NA	NA	0.125213	3.53471:3.54126:2.84652:2.55936:1.0991:1	0.535524(0.580929:0.345353:0.680288)	-2872.24	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12542-Eukaryota_ABCF2_13187	MA	0.0141539	4.18116	0.00338517	1.62847e-279	1719	362.437	1356.56	NA	312	308.096	3.90368	NA	NA	0.892733	1.15117:1.5777:0.973784:0.921772:0.687627:1	0.515998(0.568063:0.336824:0.643106)	-2887.31	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12584-Eukaryota_ABCF2_13186	MA	0.0603365	5.40162	0.0111701	0	1716	301.887	1414.11	NA	356	338.299	17.701	NA	NA	1	0.791815:0.831827:0.677016:0.685204:0.386686:1	0.535839(0.558566:0.341783:0.707168)	-3087.78	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12651-Eukaryota_ABCF2_13193	MA	0.020322	4.40213	0.00461641	3.92624e-283	1731	387.014	1343.99	NA	333	327.746	5.25423	NA	NA	1	1.65206:2.26154:1.52249:1.52037:0.742625:1	0.513576(0.567591:0.340555:0.632582)	-2950.75	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12884-Eukaryota_ABCF2_13193	MA	0.00897079	0.51274	0.0174958	6.67507e-94	1728	377.453	1350.55	NA	151	142.104	8.89584	NA	NA	0.119011	1.65599:1.68173:1.4998:1.46815:1.32636:1	0.501736(0.563368:0.337674:0.604167)	-2715.66	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_12950-Eukaryota_ABCF2_12977	MA	0.0130718	5.08576	0.00257027	7.38139e-292	1719	325.56	1393.44	NA	298	294.757	3.24267	NA	NA	0.973783	0.462774:2.30816:1.08912:0.699529:0.668924:1	0.517452(0.568063:0.337696:0.646597)	-2858.43	NA	NA	NA	eukaryotes
Eukaryota_ABCF2_13160-Eukaryota_ABCF2_13214	MA	0.0210936	4.52832	0.00465815	1.50508e-303	1743	343.139	1399.86	NA	319	313.051	5.949	NA	NA	0.908416	0.613676:1.26556:0.820483:0.712088:0.664598:1	0.504303(0.566265:0.33821:0.608434)	-2986.24	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_11471-Eukaryota_ABCF3_12541	MA	0.0426627	0.732574	0.0582367	1.11616e-107	1962	471.019	1490.98	NA	248	209.399	38.6015	NA	NA	0.20829	4.03369:4.4787:2.83437:2.84145:0.679526:1	0.56371(0.629205:0.390673:0.671254)	-3304.24	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_11977-Eukaryota_ABCF3_11995	MA	0.00915272	0.404005	0.022655	1.38279e-86	2127	521.292	1605.71	NA	161	150.498	10.5022	NA	NA	0.105924	4.11632:4.41097:2.79171:2.79213:0.774081:1	0.562294(0.631876:0.388575:0.666432)	-3266.75	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_11977-Eukaryota_ABCF3_12854	MA	0.151284	3.95097	0.0382903	0	2124	474.427	1649.57	NA	637	562.157	74.8426	NA	NA	1	0.705865:1.68937:0.674713:0.891823:0.493762:1	0.529896(0.605226:0.370763:0.613701)	-4362.07	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_11982-Eukaryota_ABCF3_12658	MA	0.0134656	1.40371	0.00959288	2.20569e-156	2109	524.194	1584.81	NA	245	238.095	6.9053	NA	NA	0.359012	3.51649:11.9216:0.915576:0.550567:0.719776:1	0.578236(0.638691:0.389047:0.70697)	-3347.51	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_12043-Eukaryota_ABCF3_12496	MA	0.0125715	0.281589	0.0446447	1.4916e-58	2127	531.704	1595.3	NA	133	117.289	15.7108	NA	NA	0.0798201	4.20562:4.84078:2.33732:2.34282:0.570134:1	0.566996(0.633992:0.388575:0.67842)	-3209.53	NA	NA	NA	eukaryotes
Eukaryota_ABCF3_12057-Eukaryota_ABCF3_12527	MA	0.00815458	0.257819	0.0316291	5.5093e-59	2127	521.045	1605.95	NA	120	109.341	10.6593	NA	NA	0.0693141	3.26493:3.54978:2.27153:2.24922:1.06759:1	0.558298(0.635402:0.388575:0.650917)	-3177.86	NA	NA	NA	eukaryotes
