Contig	Element	Start	End	MG.type	ARGorf	ARG-MGE.distance	ARG-MGE.relation
DTR_004125	DTR_004125_130	90735	91214	endonuclease	DTR_004125_162	16532	away
DTR_010621	DTR_010621_195	116012	117139	transposase	DTR_010621_348	129312	away
DTR_010621	DTR_010621_372	261229	261795	transposase	DTR_010621_348	13903	away
DTR_010621	DTR_010621_375	262963	263766	transposase	DTR_010621_348	15637	away
DTR_010621	DTR_010621_117	46551	47828	integrase	DTR_010621_348	198623	away
DTR_010621	DTR_010621_120	51004	51585	endonuclease	DTR_010621_348	194866	away
DTR_010621	DTR_010621_184	107579	108643	resolvase	DTR_010621_348	137808	away
DTR_010621	DTR_010621_195	116012	117139	transposase	DTR_010621_348	129312	away
DTR_010621	DTR_010621_198	118068	118571	endonuclease	DTR_010621_348	127880	away
DTR_010621	DTR_010621_308	219996	221945	endonuclease	DTR_010621_348	24506	away
DTR_010621	DTR_010621_325	233245	234636	transposase	DTR_010621_348	11815	away
DTR_010621	DTR_010621_371	260050	261228	transposase	DTR_010621_348	12724	away
DTR_010621	DTR_010621_372	261229	261795	resolvase	DTR_010621_348	13903	away
DTR_010621	DTR_010621_375	262963	263766	integrase|recombinase	DTR_010621_348	15637	away
DTR_010621	DTR_010621_375	262963	263766	integrase|recombinase	DTR_010621_348	15637	away
DTR_010621	IS200/IS605	116012	117101	IS	DTR_010621_348	129350	away
DTR_010621	IS200/IS605	233245	234636	IS	DTR_010621_348	11815	away
DTR_010621	IS200/IS605	260050	261228	IS	DTR_010621_348	12724	away
DTR_022094	DTR_022094_131	69050	70558	integrase	DTR_022094_128	670	away
DTR_022094	DTR_022094_399	235025	236533	integrase	DTR_022094_128	166645	away
DTR_022094	DTR_022094_105	55421	55978	endonuclease	DTR_022094_128	11902	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_128	670	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_128	670	away
DTR_022094	DTR_022094_160	102423	103388	integrase	DTR_022094_128	34043	away
DTR_022094	DTR_022094_178	118162	118689	endonuclease	DTR_022094_128	49782	away
DTR_022094	DTR_022094_246	151769	152167	endonuclease	DTR_022094_128	83389	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_128	89383	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_128	89383	away
DTR_022094	DTR_022094_309	185575	186159	endonuclease	DTR_022094_128	117195	away
DTR_022094	DTR_022094_373	221396	221953	endonuclease	DTR_022094_128	153016	away
DTR_022094	DTR_022094_399	235025	236533	recombinase|resolvase	DTR_022094_128	166645	away
DTR_022094	DTR_022094_399	235025	236533	recombinase|resolvase	DTR_022094_128	166645	away
DTR_022094	DTR_022094_41	19600	20184	endonuclease	DTR_022094_128	47696	away
DTR_022094	DTR_022094_428	268398	269363	integrase	DTR_022094_128	200018	away
DTR_022094	DTR_022094_446	284137	284664	endonuclease	DTR_022094_128	215757	away
DTR_022094	DTR_022094_514	317744	318142	endonuclease	DTR_022094_128	249364	away
DTR_022094	DTR_022094_528	323738	324793	integrase|recombinase	DTR_022094_128	255358	away
DTR_022094	DTR_022094_528	323738	324793	integrase|recombinase	DTR_022094_128	255358	away
DTR_022094	DTR_022094_131	69050	70558	integrase	DTR_022094_29	56787	away
DTR_022094	DTR_022094_399	235025	236533	integrase	DTR_022094_29	222762	away
DTR_022094	DTR_022094_105	55421	55978	endonuclease	DTR_022094_29	43158	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_29	56787	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_29	56787	away
DTR_022094	DTR_022094_160	102423	103388	integrase	DTR_022094_29	90160	away
DTR_022094	DTR_022094_178	118162	118689	endonuclease	DTR_022094_29	105899	away
DTR_022094	DTR_022094_246	151769	152167	endonuclease	DTR_022094_29	139506	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_29	145500	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_29	145500	away
DTR_022094	DTR_022094_309	185575	186159	endonuclease	DTR_022094_29	173312	away
DTR_022094	DTR_022094_373	221396	221953	endonuclease	DTR_022094_29	209133	away
DTR_022094	DTR_022094_399	235025	236533	recombinase|resolvase	DTR_022094_29	222762	away
DTR_022094	DTR_022094_399	235025	236533	recombinase|resolvase	DTR_022094_29	222762	away
DTR_022094	DTR_022094_41	19600	20184	endonuclease	DTR_022094_29	7337	away
DTR_022094	DTR_022094_428	268398	269363	integrase	DTR_022094_29	256135	away
DTR_022094	DTR_022094_446	284137	284664	endonuclease	DTR_022094_29	271874	away
DTR_022094	DTR_022094_514	317744	318142	endonuclease	DTR_022094_29	305481	away
DTR_022094	DTR_022094_528	323738	324793	integrase|recombinase	DTR_022094_29	311475	away
DTR_022094	DTR_022094_528	323738	324793	integrase|recombinase	DTR_022094_29	311475	away
DTR_022094	DTR_022094_131	69050	70558	integrase	DTR_022094_297	107072	away
DTR_022094	DTR_022094_399	235025	236533	integrase	DTR_022094_297	56787	away
DTR_022094	DTR_022094_105	55421	55978	endonuclease	DTR_022094_297	121652	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_297	107072	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_297	107072	away
DTR_022094	DTR_022094_160	102423	103388	integrase	DTR_022094_297	74242	away
DTR_022094	DTR_022094_178	118162	118689	endonuclease	DTR_022094_297	58941	away
DTR_022094	DTR_022094_246	151769	152167	endonuclease	DTR_022094_297	25463	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_297	18812	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_297	18812	away
DTR_022094	DTR_022094_309	185575	186159	endonuclease	DTR_022094_297	7337	away
DTR_022094	DTR_022094_373	221396	221953	endonuclease	DTR_022094_297	43158	away
DTR_022094	DTR_022094_399	235025	236533	recombinase|resolvase	DTR_022094_297	56787	away
DTR_022094	DTR_022094_399	235025	236533	recombinase|resolvase	DTR_022094_297	56787	away
DTR_022094	DTR_022094_41	19600	20184	endonuclease	DTR_022094_297	157446	away
DTR_022094	DTR_022094_428	268398	269363	integrase	DTR_022094_297	90160	away
DTR_022094	DTR_022094_446	284137	284664	endonuclease	DTR_022094_297	105899	away
DTR_022094	DTR_022094_514	317744	318142	endonuclease	DTR_022094_297	139506	away
DTR_022094	DTR_022094_528	323738	324793	integrase|recombinase	DTR_022094_297	145500	away
DTR_022094	DTR_022094_528	323738	324793	integrase|recombinase	DTR_022094_297	145500	away
DTR_022094	DTR_022094_131	69050	70558	integrase	DTR_022094_396	163297	away
DTR_022094	DTR_022094_399	235025	236533	integrase	DTR_022094_396	670	away
DTR_022094	DTR_022094_105	55421	55978	endonuclease	DTR_022094_396	177877	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_396	163297	away
DTR_022094	DTR_022094_131	69050	70558	recombinase|resolvase	DTR_022094_396	163297	away
DTR_022094	DTR_022094_160	102423	103388	integrase	DTR_022094_396	130467	away
DTR_022094	DTR_022094_178	118162	118689	endonuclease	DTR_022094_396	115166	away
DTR_022094	DTR_022094_246	151769	152167	endonuclease	DTR_022094_396	81688	away
DTR_022094	DTR_022094_260	157763	158818	integrase|recombinase	DTR_022094_396	75037	away
