orf	abb	genome
cPacV_1605.fa|CABVLZ010000002.1_14	ncldv_1	cPacV.1605
cPacV_1605.fa|CABVLZ010000003.1_210	ncldv_2	cPacV.1605
cPacV_1605.fa|CABVLZ010000004.1_250	ncldv_3	cPacV.1605
cPacV_1605.fa|CABVLZ010000007.1_43	ncldv_4	cPacV.1605
cPacV_1605.fa|CABVLZ010000007.1_66	ncldv_5	cPacV.1605
cPacV_1605.fa|CABVLZ010000007.1_67	ncldv_6	cPacV.1605
cPacV_1605.fa|CABVLZ010000007.1_68	ncldv_7	cPacV.1605
cPacV_1605.fa|CABVLZ010000008.1_16	ncldv_8	cPacV.1605
cPacV_1605.fa|CABVLZ010000008.1_26	ncldv_9	cPacV.1605
cPacV_1605.fa|CABVLZ010000008.1_9	ncldv_10	cPacV.1605
ERX552254.13.dc.fa|contig_45427_2	ncldv_11	ERX552254.13.dc
ERX552254.13.dc.fa|contig_93365_14	ncldv_12	ERX552254.13.dc
ERX552255.7.dc.fa|contig_51107_6	ncldv_13	ERX552255.7.dc
ERX552256.53.dc.fa|contig_2705_21	ncldv_14	ERX552256.53.dc
ERX552270.10.dc.fa|contig_15547_32	ncldv_15	ERX552270.10.dc
ERX552270.56.dc.fa|contig_4353_90	ncldv_16	ERX552270.56.dc
ERX552270.61.dc.fa|contig_25691_5	ncldv_17	ERX552270.61.dc
ERX552270.76.dc.fa|contig_1593_18	ncldv_18	ERX552270.76.dc
ERX552288.95.dc.fa|contig_23907_9	ncldv_19	ERX552288.95.dc
ERX552288.95.dc.fa|contig_79268_1	ncldv_20	ERX552288.95.dc
ERX552300.8.dc.fa|contig_6063_37	ncldv_21	ERX552300.8.dc
ERX555926.27.dc.fa|contig_30772_7	ncldv_22	ERX555926.27.dc
ERX555926.32.dc.fa|contig_10021_3	ncldv_23	ERX555926.32.dc
ERX555952.65.dc.fa|contig_72052_14	ncldv_24	ERX555952.65.dc
ERX555958.4.dc.fa|contig_348_23	ncldv_25	ERX555958.4.dc
ERX556005.37.dc.fa|contig_20873_19	ncldv_26	ERX556005.37.dc
ERX556005.37.dc.fa|contig_78112_4	ncldv_27	ERX556005.37.dc
ERX556019.13.dc.fa|contig_3127_21	ncldv_28	ERX556019.13.dc
ERX556037.25.dc.fa|contig_84647_5	ncldv_29	ERX556037.25.dc
ERX556091.17.dc.fa|contig_2465_3	ncldv_30	ERX556091.17.dc
ERX556091.17.dc.fa|contig_3849_34	ncldv_31	ERX556091.17.dc
GCA_000847045.1_ViralProj14564|JF411744.1_369	ncldv_32	GCA.000847045.1.ViralProj14564
GCA_000867825.1_ViralProj18305|DQ890022.1_314	ncldv_33	GCA.000867825.1.ViralProj18305
GCA_000869685.1_ViralProj18527|EF101928.1_283	ncldv_34	GCA.000869685.1.ViralProj18527
GCA_000916835.1_ViralProj237323|KF740664.1_333	ncldv_35	GCA.000916835.1.ViralProj237323
GCA_001887825.1_ViralProj355304|KX857749.1_359	ncldv_36	GCA.001887825.1.ViralProj355304
GCA_001995575.1_ViralProj357483|LT671577.1_546	ncldv_37	GCA.001995575.1.ViralProj357483
GCA_002966215.1_ASM296621v1|KY684089.1_11	ncldv_38	GCA.002966215.1.ASM296621v1
GCA_003069485.1_ASM306948v1|DQ491001.1_312	ncldv_39	GCA.003069485.1.ASM306948v1
GCA_006118515.1_ASM611851v1|HQ634147.1_317	ncldv_40	GCA.006118515.1.ASM611851v1
GCA_900205285.1_ASM90020528v1|LT907979.1_124	ncldv_41	GCA.900205285.1.ASM90020528v1
GCA_900323535.1_PRJEB25578|LT994651.1_517	ncldv_42	GCA.900323535.1.PRJEB25578
GVMAG-M-3300002242-2.fna|KVWGV2_10289253_32	ncldv_43	GVMAG-M-3300002242-2
GVMAG-M-3300003404-4.fna|JGI25920J50251_10000022_8	ncldv_44	GVMAG-M-3300003404-4
GVMAG-M-3300005613-41.fna|Ga0074649_1001410_18	ncldv_45	GVMAG-M-3300005613-41
GVMAG-M-3300005613-49.fna|Ga0074649_1000200_72	ncldv_46	GVMAG-M-3300005613-49
GVMAG-M-3300005662-30.fna|Ga0078894_10000146_21	ncldv_47	GVMAG-M-3300005662-30
GVMAG-M-3300009155-19.fna|Ga0114968_10000802_14	ncldv_48	GVMAG-M-3300009155-19
GVMAG-M-3300009159-41.fna|Ga0114978_10000885_7	ncldv_49	GVMAG-M-3300009159-41
GVMAG-M-3300009161-9.fna|Ga0114966_10001563_17	ncldv_50	GVMAG-M-3300009161-9
GVMAG-M-3300009163-40.fna|Ga0114970_10000937_15	ncldv_51	GVMAG-M-3300009163-40
GVMAG-M-3300009164-20.fna|Ga0114975_10000342_12	ncldv_52	GVMAG-M-3300009164-20
GVMAG-M-3300009164-3.fna|Ga0114975_10000579_15	ncldv_53	GVMAG-M-3300009164-3
GVMAG-M-3300009164-3.fna|Ga0114975_10000579_16	ncldv_54	GVMAG-M-3300009164-3
GVMAG-M-3300009164-3.fna|Ga0114975_10003563_8	ncldv_55	GVMAG-M-3300009164-3
GVMAG-M-3300009182-48.fna|Ga0114959_10000254_25	ncldv_56	GVMAG-M-3300009182-48
GVMAG-M-3300009184-32.fna|Ga0114976_10000406_22	ncldv_57	GVMAG-M-3300009184-32
GVMAG-M-3300009185-54.fna|Ga0114971_10000046_4	ncldv_58	GVMAG-M-3300009185-54
GVMAG-M-3300009187-29.fna|Ga0114972_10000015_99	ncldv_59	GVMAG-M-3300009187-29
GVMAG-M-3300010158-13.fna|Ga0114960_10000015_29	ncldv_60	GVMAG-M-3300010158-13
GVMAG-M-3300010158-15.fna|Ga0114960_10000385_35	ncldv_61	GVMAG-M-3300010158-15
GVMAG-M-3300010158-63.fna|Ga0114960_10000537_1	ncldv_62	GVMAG-M-3300010158-63
GVMAG-M-3300010158-63.fna|Ga0114960_10000537_2	ncldv_63	GVMAG-M-3300010158-63
GVMAG-M-3300010299-8.fna|Ga0129342_1000486_15	ncldv_64	GVMAG-M-3300010299-8
GVMAG-M-3300010368-24.fna|Ga0129324_10000274_10	ncldv_65	GVMAG-M-3300010368-24
GVMAG-M-3300010368-35.fna|Ga0129324_10000287_37	ncldv_66	GVMAG-M-3300010368-35
GVMAG-M-3300013014-33.fna|Ga0164295_10000089_37	ncldv_67	GVMAG-M-3300013014-33
GVMAG-M-3300013014-33.fna|Ga0164295_10000089_39	ncldv_68	GVMAG-M-3300013014-33
GVMAG-M-3300013014-33.fna|Ga0164295_10000270_3	ncldv_69	GVMAG-M-3300013014-33
GVMAG-M-3300013014-33.fna|Ga0164295_10000270_41	ncldv_70	GVMAG-M-3300013014-33
GVMAG-M-3300013093-49.fna|Ga0164296_1000640_28	ncldv_71	GVMAG-M-3300013093-49
GVMAG-M-3300017824-14.fna|Ga0181552_10000027_3	ncldv_72	GVMAG-M-3300017824-14
GVMAG-M-3300017950-2.fna|Ga0181607_10000753_14	ncldv_73	GVMAG-M-3300017950-2
GVMAG-M-3300017956-25.fna|Ga0181580_10000155_26	ncldv_74	GVMAG-M-3300017956-25
GVMAG-M-3300017956-25.fna|Ga0181580_10003185_2	ncldv_75	GVMAG-M-3300017956-25
GVMAG-M-3300017956-3.fna|Ga0181580_10000288_24	ncldv_76	GVMAG-M-3300017956-3
GVMAG-M-3300017967-22.fna|Ga0181590_10001532_5	ncldv_77	GVMAG-M-3300017967-22
GVMAG-M-3300018049-14.fna|Ga0181572_10000838_20	ncldv_78	GVMAG-M-3300018049-14
GVMAG-M-3300020165-43.fna|Ga0206125_10002198_21	ncldv_79	GVMAG-M-3300020165-43
GVMAG-M-3300020182-22.fna|Ga0206129_10003901_11	ncldv_80	GVMAG-M-3300020182-22
GVMAG-M-3300020185-49.fna|Ga0206131_10000238_1	ncldv_81	GVMAG-M-3300020185-49
GVMAG-M-3300020185-49.fna|Ga0206131_10000547_42	ncldv_82	GVMAG-M-3300020185-49
GVMAG-M-3300020187-22.fna|Ga0206130_10005881_3	ncldv_83	GVMAG-M-3300020187-22
GVMAG-M-3300020187-22.fna|Ga0206130_10005881_5	ncldv_84	GVMAG-M-3300020187-22
GVMAG-M-3300020187-69.fna|Ga0206130_10004876_4	ncldv_85	GVMAG-M-3300020187-69
GVMAG-M-3300020194-16.fna|Ga0181597_10001752_12	ncldv_86	GVMAG-M-3300020194-16
GVMAG-M-3300020716-5.fna|Ga0214207_1000146_5	ncldv_87	GVMAG-M-3300020716-5
GVMAG-M-3300021340-15.fna|Ga0194041_10001310_8	ncldv_88	GVMAG-M-3300021340-15
GVMAG-M-3300021375-17.fna|Ga0213869_10000079_29	ncldv_89	GVMAG-M-3300021375-17
