orf	abb	genome
ERX288947.11.dc.fa|contig_22403_31	ncldv_1	ERX288947.11.dc
ERX288947.23.dc.fa|contig_48404_20	ncldv_2	ERX288947.23.dc
ERX289005.28.dc.fa|contig_36343_7	ncldv_3	ERX289005.28.dc
ERX289005.60.dc.fa|contig_38996_19	ncldv_4	ERX289005.60.dc
ERX552243.80.dc.fa|contig_95233_17	ncldv_5	ERX552243.80.dc
ERX552246.27.dc.fa|contig_1900_47	ncldv_6	ERX552246.27.dc
ERX552254.13.dc.fa|contig_231_15	ncldv_7	ERX552254.13.dc
ERX552254.13.dc.fa|contig_63011_3	ncldv_8	ERX552254.13.dc
ERX552256.7.dc.fa|contig_50027_2	ncldv_9	ERX552256.7.dc
ERX552257.75.dc.fa|contig_3510_30	ncldv_10	ERX552257.75.dc
ERX552261.44.dc.fa|contig_23785_5	ncldv_11	ERX552261.44.dc
ERX552261.56.dc.fa|contig_27313_11	ncldv_12	ERX552261.56.dc
ERX552270.100.dc.fa|contig_21169_16	ncldv_13	ERX552270.100.dc
ERX552270.108.dc.fa|contig_11963_32	ncldv_14	ERX552270.108.dc
ERX552270.116.dc.fa|contig_23043_3	ncldv_15	ERX552270.116.dc
ERX552270.24.dc.fa|contig_4015_18	ncldv_16	ERX552270.24.dc
ERX552270.27.dc.fa|contig_67261_4	ncldv_17	ERX552270.27.dc
ERX552270.51.dc.fa|contig_628_3	ncldv_18	ERX552270.51.dc
ERX552270.55.dc.fa|contig_3315_15	ncldv_19	ERX552270.55.dc
ERX552270.62.dc.fa|contig_9085_24	ncldv_20	ERX552270.62.dc
ERX552270.62.dc.fa|contig_927_40	ncldv_21	ERX552270.62.dc
ERX552270.65.dc.fa|contig_26040_13	ncldv_22	ERX552270.65.dc
ERX552270.74.dc.fa|contig_5691_57	ncldv_23	ERX552270.74.dc
ERX552270.86.dc.fa|contig_104_9	ncldv_24	ERX552270.86.dc
ERX552270.87.dc.fa|contig_19336_24	ncldv_25	ERX552270.87.dc
ERX552270.94.dc.fa|contig_9942_25	ncldv_26	ERX552270.94.dc
ERX552274.30.dc.fa|contig_15393_4	ncldv_27	ERX552274.30.dc
ERX552288.39.dc.fa|contig_112_57	ncldv_28	ERX552288.39.dc
ERX552288.95.dc.fa|contig_14734_19	ncldv_29	ERX552288.95.dc
ERX552296.13.dc.fa|contig_6840_6	ncldv_30	ERX552296.13.dc
ERX552297.51.dc.fa|contig_2085_7	ncldv_31	ERX552297.51.dc
ERX552297.80.dc.fa|contig_80641_5	ncldv_32	ERX552297.80.dc
ERX552302.25.dc.fa|contig_1838_9	ncldv_33	ERX552302.25.dc
ERX555913.6.dc.fa|contig_13153_11	ncldv_34	ERX555913.6.dc
ERX555913.6.dc.fa|contig_24942_3	ncldv_35	ERX555913.6.dc
ERX555926.39.dc.fa|contig_13486_22	ncldv_36	ERX555926.39.dc
ERX555933.22.dc.fa|contig_14453_25	ncldv_37	ERX555933.22.dc
ERX555952.65.dc.fa|contig_58961_3	ncldv_38	ERX555952.65.dc
ERX555954.29.dc.fa|contig_31747_10	ncldv_39	ERX555954.29.dc
ERX555958.4.dc.fa|contig_10705_14	ncldv_40	ERX555958.4.dc
ERX555963.29.dc.fa|contig_12521_4	ncldv_41	ERX555963.29.dc
ERX555967.26.dc.fa|contig_8284_35	ncldv_42	ERX555967.26.dc
ERX555967.90.dc.fa|contig_21603_11	ncldv_43	ERX555967.90.dc
ERX555988.97.dc.fa|contig_15237_22	ncldv_44	ERX555988.97.dc
ERX556003.31.dc.fa|contig_28002_38	ncldv_45	ERX556003.31.dc
ERX556009.7.dc.fa|contig_404_12	ncldv_46	ERX556009.7.dc
ERX556019.13.dc.fa|contig_8535_15	ncldv_47	ERX556019.13.dc
ERX556037.25.dc.fa|contig_12300_4	ncldv_48	ERX556037.25.dc
ERX556054.25.dc.fa|contig_411_120	ncldv_49	ERX556054.25.dc
ERX556088.18.dc.fa|contig_20332_17	ncldv_50	ERX556088.18.dc
ERX556091.17.dc.fa|contig_12162_14	ncldv_51	ERX556091.17.dc
GCA_000911655.1_ViralProj213019|KC977570.1_708	ncldv_52	GCA.000911655.1.ViralProj213019
GCA_000911955.1_ViralProj215788|KC977571.1_636	ncldv_53	GCA.000911955.1.ViralProj215788
GCA_000914535.1_ViralProj239736|HF920635.1_120	ncldv_54	GCA.000914535.1.ViralProj239736
GCA_000915575.1_ViralProj239738|HF920636.1_114	ncldv_55	GCA.000915575.1.ViralProj239738
GCA_000928575.1_ViralProj274798|KP136319.1_1584	ncldv_56	GCA.000928575.1.ViralProj274798
GCA_001292995.1_ViralProj295679|KR921745.1_34	ncldv_57	GCA.001292995.1.ViralProj295679
GCA_001399245.1_ViralProj298907|KT820662.1_356	ncldv_58	GCA.001399245.1.ViralProj298907
GCA_001654305.1_ViralProj323872|AP017398.1_86	ncldv_59	GCA.001654305.1.ViralProj323872
GCA_001806195.1_ViralProj349153|KT835053.1_416	ncldv_60	GCA.001806195.1.ViralProj349153
GCA_002116175.1_ViralProj381648|KX552040.1_318	ncldv_61	GCA.002116175.1.ViralProj381648
GCA_003233895.1_ASM323389v1|MG011689.1_672	ncldv_62	GCA.003233895.1.ASM323389v1
GCA_003233915.1_ASM323391v1|MG011690.1_671	ncldv_63	GCA.003233915.1.ASM323391v1
GCA_003233935.1_ASM323393v1|MG011691.1_737	ncldv_64	GCA.003233935.1.ASM323393v1
GCA_006118515.1_ASM611851v1|HQ634147.1_266	ncldv_65	GCA.006118515.1.ASM611851v1
GCA_006465445.1_ASM646544v1|KF261120.1_470	ncldv_66	GCA.006465445.1.ASM646544v1
GCA_006547245.1_ASM654724v1|MH918795.1_255	ncldv_67	GCA.006547245.1.ASM654724v1
GCA_011604445.1_ASM1160444v1|MN940580.1_122	ncldv_68	GCA.011604445.1.ASM1160444v1
GVMAG-M-3300000115-18.fna|DelMOSum2011_c10000102_43	ncldv_69	GVMAG-M-3300000115-18
GVMAG-M-3300004240-17.fna|Ga0007787_10000058_26	ncldv_70	GVMAG-M-3300004240-17
GVMAG-M-3300005613-11.fna|Ga0074649_1000076_58	ncldv_71	GVMAG-M-3300005613-11
GVMAG-M-3300005613-13.fna|Ga0074649_1003535_14	ncldv_72	GVMAG-M-3300005613-13
GVMAG-M-3300005613-13.fna|Ga0074649_1004360_3	ncldv_73	GVMAG-M-3300005613-13
GVMAG-M-3300005613-15.fna|Ga0074649_1000005_218	ncldv_74	GVMAG-M-3300005613-15
GVMAG-M-3300005613-26.fna|Ga0074649_1000010_69	ncldv_75	GVMAG-M-3300005613-26
GVMAG-M-3300005613-41.fna|Ga0074649_1001410_25	ncldv_76	GVMAG-M-3300005613-41
GVMAG-M-3300005613-55.fna|Ga0074649_1000052_124	ncldv_77	GVMAG-M-3300005613-55
GVMAG-M-3300005662-62.fna|Ga0078894_10000482_5	ncldv_78	GVMAG-M-3300005662-62
GVMAG-M-3300005662-68.fna|Ga0078894_10004767_4	ncldv_79	GVMAG-M-3300005662-68
GVMAG-M-3300006165-1.fna|Ga0075443_10000084_14	ncldv_80	GVMAG-M-3300006165-1
GVMAG-M-3300006190-14.fna|Ga0075446_10000093_8	ncldv_81	GVMAG-M-3300006190-14
GVMAG-M-3300006810-8.fna|Ga0070754_10000821_13	ncldv_82	GVMAG-M-3300006810-8
GVMAG-M-3300009001-5.fna|Ga0102963_1001479_7	ncldv_83	GVMAG-M-3300009001-5
GVMAG-M-3300009149-34.fna|Ga0114918_10000536_12	ncldv_84	GVMAG-M-3300009149-34
GVMAG-M-3300009163-35.fna|Ga0114970_10000714_24	ncldv_85	GVMAG-M-3300009163-35
GVMAG-M-3300009164-3.fna|Ga0114975_10000044_58	ncldv_86	GVMAG-M-3300009164-3
GVMAG-M-3300009164-8.fna|Ga0114975_10002623_12	ncldv_87	GVMAG-M-3300009164-8
GVMAG-M-3300009180-1.fna|Ga0114979_10000113_41	ncldv_88	GVMAG-M-3300009180-1
GVMAG-M-3300009182-48.fna|Ga0114959_10000254_17	ncldv_89	GVMAG-M-3300009182-48
GVMAG-M-3300009182-53.fna|Ga0114959_10000260_36	ncldv_90	GVMAG-M-3300009182-53
GVMAG-M-3300009183-46.fna|Ga0114974_10001255_15	ncldv_91	GVMAG-M-3300009183-46
GVMAG-M-3300009436-33.fna|Ga0115008_10001079_4	ncldv_92	GVMAG-M-3300009436-33
GVMAG-M-3300010158-63.fna|Ga0114960_10000216_11	ncldv_93	GVMAG-M-3300010158-63
GVMAG-M-3300010354-11.fna|Ga0129333_10000010_35	ncldv_94	GVMAG-M-3300010354-11
GVMAG-M-3300010354-31.fna|Ga0129333_10003818_6	ncldv_95	GVMAG-M-3300010354-31
GVMAG-M-3300010368-35.fna|Ga0129324_10000164_2	ncldv_96	GVMAG-M-3300010368-35
GVMAG-M-3300012936-15.fna|Ga0163109_10000101_25	ncldv_97	GVMAG-M-3300012936-15
GVMAG-M-3300012936-19.fna|Ga0163109_10000217_37	ncldv_98	GVMAG-M-3300012936-19
GVMAG-M-3300012936-34.fna|Ga0163109_10000136_20	ncldv_99	GVMAG-M-3300012936-34
GVMAG-M-3300012936-37.fna|Ga0163109_10001302_22	ncldv_100	GVMAG-M-3300012936-37
GVMAG-M-3300012936-41.fna|Ga0163109_10001054_22	ncldv_101	GVMAG-M-3300012936-41
GVMAG-M-3300012954-26.fna|Ga0163111_10002902_2	ncldv_102	GVMAG-M-3300012954-26
GVMAG-M-3300014204-73.fna|Ga0172381_10003913_14	ncldv_103	GVMAG-M-3300014204-73
GVMAG-M-3300017742-1.fna|Ga0181399_1000492_8	ncldv_104	GVMAG-M-3300017742-1
GVMAG-M-3300017772-13.fna|Ga0181430_1000270_19	ncldv_105	GVMAG-M-3300017772-13
GVMAG-M-3300017786-5.fna|Ga0181424_10000068_48	ncldv_106	GVMAG-M-3300017786-5
GVMAG-M-3300017950-2.fna|Ga0181607_10001889_4	ncldv_107	GVMAG-M-3300017950-2
GVMAG-M-3300017956-3.fna|Ga0181580_10000254_10	ncldv_108	GVMAG-M-3300017956-3
GVMAG-M-3300017963-13.fna|Ga0180437_10009266_2	ncldv_109	GVMAG-M-3300017963-13
GVMAG-M-3300017963-20.fna|Ga0180437_10002565_9	ncldv_110	GVMAG-M-3300017963-20
GVMAG-M-3300017986-28.fna|Ga0181569_10000184_16	ncldv_111	GVMAG-M-3300017986-28
GVMAG-M-3300018428-16.fna|Ga0181568_10000528_21	ncldv_112	GVMAG-M-3300018428-16
GVMAG-M-3300018868-6.fna|Ga0187844_10000111_20	ncldv_113	GVMAG-M-3300018868-6
GVMAG-M-3300019093-7.fna|Ga0187843_10000100_75	ncldv_114	GVMAG-M-3300019093-7
GVMAG-M-3300020165-47.fna|Ga0206125_10003224_8	ncldv_115	GVMAG-M-3300020165-47
GVMAG-M-3300020166-18.fna|Ga0206128_1000005_255	ncldv_116	GVMAG-M-3300020166-18
GVMAG-M-3300020166-5.fna|Ga0206128_1000231_62	ncldv_117	GVMAG-M-3300020166-5
GVMAG-M-3300020169-51.fna|Ga0206127_1000301_51	ncldv_118	GVMAG-M-3300020169-51
GVMAG-M-3300020185-18.fna|Ga0206131_10001153_10	ncldv_119	GVMAG-M-3300020185-18
GVMAG-M-3300020185-23.fna|Ga0206131_10000999_5	ncldv_120	GVMAG-M-3300020185-23
GVMAG-M-3300020185-33.fna|Ga0206131_10000050_24	ncldv_121	GVMAG-M-3300020185-33
GVMAG-M-3300020185-35.fna|Ga0206131_10000221_69	ncldv_122	GVMAG-M-3300020185-35
GVMAG-M-3300020185-65.fna|Ga0206131_10000293_54	ncldv_123	GVMAG-M-3300020185-65
GVMAG-M-3300020187-22.fna|Ga0206130_10003296_11	ncldv_124	GVMAG-M-3300020187-22
GVMAG-M-3300020187-47.fna|Ga0206130_10000341_43	ncldv_125	GVMAG-M-3300020187-47
GVMAG-M-3300020187-69.fna|Ga0206130_10004807_4	ncldv_126	GVMAG-M-3300020187-69
GVMAG-M-3300020565-3.fna|Ga0208718_1000003_44	ncldv_127	GVMAG-M-3300020565-3
GVMAG-M-3300020716-5.fna|Ga0214207_1000146_7	ncldv_128	GVMAG-M-3300020716-5
GVMAG-M-3300020727-4.fna|Ga0214246_1000014_65	ncldv_129	GVMAG-M-3300020727-4
GVMAG-M-3300020810-20.fna|Ga0181598_1001497_4	ncldv_130	GVMAG-M-3300020810-20
GVMAG-M-3300021079-11.fna|Ga0194055_10003885_4	ncldv_131	GVMAG-M-3300021079-11
GVMAG-M-3300021340-15.fna|Ga0194041_10001435_4	ncldv_132	GVMAG-M-3300021340-15
GVMAG-M-3300021371-30.fna|Ga0213863_10001102_23	ncldv_133	GVMAG-M-3300021371-30
GVMAG-M-3300021378-36.fna|Ga0213861_10002316_2	ncldv_134	GVMAG-M-3300021378-36
GVMAG-M-3300021379-1.fna|Ga0213864_10000076_12	ncldv_135	GVMAG-M-3300021379-1
GVMAG-M-3300021389-2.fna|Ga0213868_10000910_27	ncldv_136	GVMAG-M-3300021389-2
GVMAG-M-3300021389-22.fna|Ga0213868_10003577_15	ncldv_137	GVMAG-M-3300021389-22
GVMAG-M-3300021389-31.fna|Ga0213868_10000070_37	ncldv_138	GVMAG-M-3300021389-31
GVMAG-M-3300021425-14.fna|Ga0213866_10000167_35	ncldv_139	GVMAG-M-3300021425-14
GVMAG-M-3300021425-30.fna|Ga0213866_10000012_86	ncldv_140	GVMAG-M-3300021425-30
GVMAG-M-3300021960-2.fna|Ga0222715_10005345_10	ncldv_141	GVMAG-M-3300021960-2
GVMAG-M-3300021961-40.fna|Ga0222714_10000061_78	ncldv_142	GVMAG-M-3300021961-40
GVMAG-M-3300021961-46.fna|Ga0222714_10001316_8	ncldv_143	GVMAG-M-3300021961-46
GVMAG-M-3300021962-24.fna|Ga0222713_10000430_16	ncldv_144	GVMAG-M-3300021962-24
GVMAG-M-3300021962-46.fna|Ga0222713_10000048_28	ncldv_145	GVMAG-M-3300021962-46
GVMAG-M-3300021962-60.fna|Ga0222713_10000995_36	ncldv_146	GVMAG-M-3300021962-60
GVMAG-M-3300021964-16.fna|Ga0222719_10002270_17	ncldv_147	GVMAG-M-3300021964-16
GVMAG-M-3300021964-56.fna|Ga0222719_10000674_12	ncldv_148	GVMAG-M-3300021964-56
GVMAG-M-3300021964-9.fna|Ga0222719_10000426_32	ncldv_149	GVMAG-M-3300021964-9
GVMAG-M-3300022752-15.fna|Ga0214917_10000327_54	ncldv_150	GVMAG-M-3300022752-15
GVMAG-M-3300022752-80.fna|Ga0214917_10005223_18	ncldv_151	GVMAG-M-3300022752-80
GVMAG-M-3300022920-41.fna|Ga0233426_10002793_6	ncldv_152	GVMAG-M-3300022920-41
GVMAG-M-3300023174-100.fna|Ga0214921_10005653_7	ncldv_153	GVMAG-M-3300023174-100
GVMAG-M-3300023174-116.fna|Ga0214921_10000091_35	ncldv_154	GVMAG-M-3300023174-116
GVMAG-M-3300023174-138.fna|Ga0214921_10005905_6	ncldv_155	GVMAG-M-3300023174-138
GVMAG-M-3300023174-188.fna|Ga0214921_10004598_8	ncldv_156	GVMAG-M-3300023174-188
GVMAG-M-3300023174-193.fna|Ga0214921_10005251_2	ncldv_157	GVMAG-M-3300023174-193
GVMAG-M-3300023174-206.fna|Ga0214921_10000279_59	ncldv_158	GVMAG-M-3300023174-206
GVMAG-M-3300023174-24.fna|Ga0214921_10004631_2	ncldv_159	GVMAG-M-3300023174-24
GVMAG-M-3300023174-5.fna|Ga0214921_10000065_151	ncldv_160	GVMAG-M-3300023174-5
GVMAG-M-3300023179-103.fna|Ga0214923_10001210_14	ncldv_161	GVMAG-M-3300023179-103
GVMAG-M-3300023179-115.fna|Ga0214923_10001470_19	ncldv_162	GVMAG-M-3300023179-115
GVMAG-M-3300023179-31.fna|Ga0214923_10005639_5	ncldv_163	GVMAG-M-3300023179-31
GVMAG-M-3300023179-62.fna|Ga0214923_10001387_20	ncldv_164	GVMAG-M-3300023179-62
GVMAG-M-3300023179-91.fna|Ga0214923_10000036_150	ncldv_165	GVMAG-M-3300023179-91
GVMAG-M-3300023184-101.fna|Ga0214919_10000091_68	ncldv_166	GVMAG-M-3300023184-101
GVMAG-M-3300023184-105.fna|Ga0214919_10000382_56	ncldv_167	GVMAG-M-3300023184-105
GVMAG-M-3300023184-12.fna|Ga0214919_10005820_17	ncldv_168	GVMAG-M-3300023184-12
GVMAG-M-3300023184-165.fna|Ga0214919_10000063_156	ncldv_169	GVMAG-M-3300023184-165
GVMAG-M-3300023184-168.fna|Ga0214919_10000278_85	ncldv_170	GVMAG-M-3300023184-168
GVMAG-M-3300023184-187.fna|Ga0214919_10000326_43	ncldv_171	GVMAG-M-3300023184-187
GVMAG-M-3300023184-188.fna|Ga0214919_10000398_77	ncldv_172	GVMAG-M-3300023184-188
GVMAG-M-3300023184-40.fna|Ga0214919_10000268_68	ncldv_173	GVMAG-M-3300023184-40
GVMAG-M-3300023184-60.fna|Ga0214919_10002164_29	ncldv_174	GVMAG-M-3300023184-60
GVMAG-M-3300023184-81.fna|Ga0214919_10002922_21	ncldv_175	GVMAG-M-3300023184-81
GVMAG-M-3300023184-86.fna|Ga0214919_10003278_15	ncldv_176	GVMAG-M-3300023184-86
GVMAG-M-3300023210-14.fna|Ga0233412_10000707_2	ncldv_177	GVMAG-M-3300023210-14
GVMAG-M-3300023210-27.fna|Ga0233412_10000143_2	ncldv_178	GVMAG-M-3300023210-27
GVMAG-M-3300024185-6.fna|Ga0228669_1000109_9	ncldv_179	GVMAG-M-3300024185-6
GVMAG-M-3300024230-8.fna|Ga0228638_1000169_5	ncldv_180	GVMAG-M-3300024230-8
GVMAG-M-3300024252-27.fna|Ga0233435_1001695_2	ncldv_181	GVMAG-M-3300024252-27
GVMAG-M-3300024258-14.fna|Ga0233440_1000041_100	ncldv_182	GVMAG-M-3300024258-14
GVMAG-M-3300024258-28.fna|Ga0233440_1000371_29	ncldv_183	GVMAG-M-3300024258-28
GVMAG-M-3300024261-25.fna|Ga0233439_10001178_5	ncldv_184	GVMAG-M-3300024261-25
GVMAG-M-3300024261-26.fna|Ga0233439_10002511_10	ncldv_185	GVMAG-M-3300024261-26
GVMAG-M-3300024261-37.fna|Ga0233439_10001959_16	ncldv_186	GVMAG-M-3300024261-37
GVMAG-M-3300024261-61.fna|Ga0233439_10000569_40	ncldv_187	GVMAG-M-3300024261-61
GVMAG-M-3300024261-8.fna|Ga0233439_10000026_4	ncldv_188	GVMAG-M-3300024261-8
GVMAG-M-3300024277-1.fna|Ga0255207_1000028_20	ncldv_189	GVMAG-M-3300024277-1
GVMAG-M-3300024294-11.fna|Ga0228664_1000078_35	ncldv_190	GVMAG-M-3300024294-11
GVMAG-M-3300024312-6.fna|Ga0255219_1000484_1	ncldv_191	GVMAG-M-3300024312-6
GVMAG-M-3300024329-21.fna|Ga0228631_1000601_22	ncldv_192	GVMAG-M-3300024329-21
GVMAG-M-3300024502-1.fna|Ga0255181_1000038_13	ncldv_193	GVMAG-M-3300024502-1
GVMAG-M-3300025617-32.fna|Ga0209138_1003675_4	ncldv_194	GVMAG-M-3300025617-32
GVMAG-M-3300025654-17.fna|Ga0209196_1000847_2	ncldv_195	GVMAG-M-3300025654-17
