Species	Sequence ID	Subfamily	Domains	Superkingdom	seqLabel
Aplanochytrium_kerguelense	jgi|Aplke1|104714|estExt_fgenesh1_pm.C_90067	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_1
Aplanochytrium_kerguelense	jgi|Aplke1|104818|estExt_fgenesh1_pm.C_110040	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_2
Aplanochytrium_kerguelense	jgi|Aplke1|15308|gw1.30.50.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_3
Aplanochytrium_kerguelense	jgi|Aplke1|30182|e_gw1.5.493.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_4
Aplanochytrium_kerguelense	jgi|Aplke1|34925|e_gw1.16.113.1	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_5
Aplanochytrium_kerguelense	jgi|Aplke1|38856|e_gw1.31.25.1	ABCF7	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF7_6
Aplanochytrium_kerguelense	jgi|Aplke1|61263|fgenesh1_pg.35_#_111	eEF3L	ABC1, ABC2, eEF3_heat	Eukaryota	Eukaryota_eEF3L_7
Aplanochytrium_kerguelense	jgi|Aplke1|73494|estExt_Genewise1.C_290132	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_4HB	Eukaryota	Eukaryota_eEF3L_8
Aurantiochytrium_limacinum	jgi|Aurli1|137113|estExt_fgenesh1_kg.C_20436	eEF3L	ABC1, ABC2, eEF3_heat	Eukaryota	Eukaryota_eEF3L_9
Aurantiochytrium_limacinum	jgi|Aurli1|139547|estExt_fgenesh1_kg.C_100218	ABCF1	ABC1, ABC2, ABCF1_NTD, arm, linker	Eukaryota	Eukaryota_ABCF1_10
Aurantiochytrium_limacinum	jgi|Aurli1|141416|estExt_fgenesh1_kg.C_180195	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_CTD	Eukaryota	Eukaryota_eEF3L_11
Aurantiochytrium_limacinum	jgi|Aurli1|141423|estExt_fgenesh1_kg.C_180203	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_CTD	Eukaryota	Eukaryota_eEF3L_12
Aurantiochytrium_limacinum	jgi|Aurli1|143080|estExt_fgenesh1_kg.C_620001	ABCF7	ABC1, ABC2	Eukaryota	Eukaryota_ABCF7_13
Aurantiochytrium_limacinum	jgi|Aurli1|70248|e_gw1.2.481.1	ABCF7	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF7_14
Aurantiochytrium_limacinum	jgi|Aurli1|79105|e_gw1.13.91.1	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_15
Aurantiochytrium_limacinum	jgi|Aurli1|81901|e_gw1.18.454.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_16
Fragilariopsis_cylindrus	jgi|Fracy1|137099|gw1.12.17.1	ABCF1	ABC1, ABC2, arm	Eukaryota	Eukaryota_ABCF1_17
Fragilariopsis_cylindrus	jgi|Fracy1|146818|gw1.4.284.1	algUup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Eukaryota	Eukaryota_algUup_18
Fragilariopsis_cylindrus	jgi|Fracy1|147136|gw1.13.209.1	algAF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algAF1_19
Fragilariopsis_cylindrus	jgi|Fracy1|156779|gw1.10.636.1	algUup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Eukaryota	Eukaryota_algUup_20
Fragilariopsis_cylindrus	jgi|Fracy1|174015|estExt_Genewise1.C_260215	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, eEF3_4HB, eEF3_CTD	Eukaryota	Eukaryota_eEF3L_21
Fragilariopsis_cylindrus	jgi|Fracy1|175273|estExt_Genewise1.C_460071	ABCF2	ABC1, ABC2, linker	Eukaryota	Eukaryota_ABCF2_22
Fragilariopsis_cylindrus	jgi|Fracy1|176980|estExt_Genewise1.C_870011	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_23
Fragilariopsis_cylindrus	jgi|Fracy1|185024|e_gw1.6.478.1	ABCF4	ABC1, ABC2, linker	Eukaryota	Eukaryota_ABCF4_24
Fragilariopsis_cylindrus	jgi|Fracy1|185587|e_gw1.6.1077.1	cpYdif	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_cpYdif_25
Fragilariopsis_cylindrus	jgi|Fracy1|187993|e_gw1.8.526.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_26
Fragilariopsis_cylindrus	jgi|Fracy1|192795|e_gw1.16.132.1	ABCF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF1_27
Fragilariopsis_cylindrus	jgi|Fracy1|197602|e_gw1.34.146.1	ABCF4	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF4_28
Fragilariopsis_cylindrus	jgi|Fracy1|197665|e_gw1.34.15.1	algEttA	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algEttA_29
Fragilariopsis_cylindrus	jgi|Fracy1|198218|e_gw1.39.239.1	cpYdif	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_cpYdif_30
Fragilariopsis_cylindrus	jgi|Fracy1|205630|estExt_Genewise1Plus.C_11873	ABCF7	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF7_31
Fragilariopsis_cylindrus	jgi|Fracy1|208417|estExt_Genewise1Plus.C_60974	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_32
Fragilariopsis_cylindrus	jgi|Fracy1|208780|estExt_Genewise1Plus.C_70329	algAF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algAF1_33
Fragilariopsis_cylindrus	jgi|Fracy1|209350|estExt_Genewise1Plus.C_80141	ABCF2	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF2_34
Fragilariopsis_cylindrus	jgi|Fracy1|214297|estExt_Genewise1Plus.C_570012	algAF1	ABC1, ABC2, bact_CTD_extensions, arm, linker	Eukaryota	Eukaryota_algAF1_35
Fragilariopsis_cylindrus	jgi|Fracy1|226627|fgenesh2_pm.9_#_1	algUup	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algUup_36
Fragilariopsis_cylindrus	jgi|Fracy1|226630|fgenesh2_pm.9_#_4	ABCF1	ABC1, ABC2, arm	Eukaryota	Eukaryota_ABCF1_37
Fragilariopsis_cylindrus	jgi|Fracy1|227807|fgenesh2_pm.14_#_37	ABCF1	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF1_38
Fragilariopsis_cylindrus	jgi|Fracy1|228190|fgenesh2_pm.18_#_4	algEttA	ABC1, ABC2, linker	Eukaryota	Eukaryota_algEttA_39
Fragilariopsis_cylindrus	jgi|Fracy1|244205|fgenesh2_pg.12_#_515	YdiF	ABC1, ABC2	Eukaryota	Eukaryota_YdiF_40
Fragilariopsis_cylindrus	jgi|Fracy1|251766|fgenesh2_pg.37_#_163	ABCF4	ABC1, ABC2, ABCF[347]_NTD	Eukaryota	Eukaryota_ABCF4_41
Fragilariopsis_cylindrus	jgi|Fracy1|258092|fgenesh2_pg.110_#_7	ABCF4	ABC1, ABC2, linker	Eukaryota	Eukaryota_ABCF4_42
Fragilariopsis_cylindrus	jgi|Fracy1|259134|estExt_fgenesh2_pg.C_10942	eEF3L	ABC1, ABC2, chromo_like, eEF3_4HB	Eukaryota	Eukaryota_eEF3L_43
Fragilariopsis_cylindrus	jgi|Fracy1|263872|estExt_fgenesh2_pg.C_200222	ABCF7	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_ABCF7_44
Fragilariopsis_cylindrus	jgi|Fracy1|266008|estExt_fgenesh2_pg.C_610098	YdiF	ABC1, ABC2, arm	Eukaryota	Eukaryota_YdiF_45
Fragilariopsis_cylindrus	jgi|Fracy1|276591|estExt_fgenesh2_pm.C_120092	algUup	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_algUup_46
Phytophthora_capsici	jgi|Phyca11|503560|fgenesh2_kg.PHYCAscaffold_4_#_99_#_Contig45.1	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, chromo	Eukaryota	Eukaryota_eEF3L_47
Phytophthora_capsici	jgi|Phyca11|503562|fgenesh2_kg.PHYCAscaffold_4_#_101_#_4100091:2	eEF3L	ABC1, ABC2, eEF3_heat, chromo_like, chromo, eEF3_4HB	Eukaryota	Eukaryota_eEF3L_48
Phytophthora_capsici	jgi|Phyca11|510359|fgenesh2_kg.PHYCAscaffold_58_#_72_#_Contig2242.1	ABCF2	ABC1, ABC2, linker	Eukaryota	Eukaryota_ABCF2_49
Phytophthora_capsici	jgi|Phyca11|532231|estExt2_fgenesh1_pg.C_PHYCAscaffold_40192	mEttA	ABC1, ABC2, arm, linker	Eukaryota	Eukaryota_mEttA_50
